target_id	length	eff_length	est_counts	tpm
CLUG_00001T0	1842	3314.6	37	4.27247
CLUG_00002T0	1425	2489.55	2	0.307481
CLUG_00003T0	1767	2639.06	1	0.145031
CLUG_00004T0	1752	2875.55	18	2.39586
CLUG_00005T0	1113	1659.7	29	6.68771
CLUG_00006T0	954	1296.14	1	0.295296
CLUG_00007T0	1323	2114.06	20	3.62095
CLUG_00008T0	1104	1611.12	5	1.18782
CLUG_00009T0	873	1240.79	47	14.4981
CLUG_00010T0	750	1079.19	2	0.709318
CLUG_00011T0	1803	1628.68	0	0
CLUG_00012T0	1413	2129.83	2	0.359414
CLUG_00013T0	1518	2497.71	1	0.153238
CLUG_00014T0	1086	911.683	0	0
CLUG_00015T0	1638	2446.48	117	18.3043
CLUG_00016T0	951	1254.22	3	0.915499
CLUG_00017T0	1008	1436.91	941	250.651
CLUG_00018T0	1467	2331.34	20	3.28347
CLUG_00019T0	1095	1885.62	1	0.202981
CLUG_00020T0	1014	1763.78	9	1.95302
CLUG_00021T0	435	505.802	1	0.756708
CLUG_00022T0	990	1449.51	6	1.58431
CLUG_00023T0	453	755.516	17	8.61221
CLUG_00024T0	666	1039.1	47	17.3122
CLUG_00025T0	1371	2122.61	56	10.0978
CLUG_00026T0	4206	7184.19	24	1.27862
CLUG_00027T0	1698	2378.41	4	0.6437
CLUG_00028T0	858	683.683	0	0
CLUG_00029T0	1359	2497.03	2	0.30656
CLUG_00030T0	594	1068.98	4	1.43219
CLUG_00031T0	207	317.364	80	96.481
CLUG_00032T0	1227	2118.67	20	3.61307
CLUG_00033T0	711	990.936	82	31.6721
CLUG_00034T0	2391	3858.52	708	70.23
CLUG_00035T0	2817	4712.34	124	10.0715
CLUG_00036T0	5670	9354.94	5	0.204568
CLUG_00037T0	1224	1049.68	0	0
CLUG_00038T0	798	1069.92	47	16.8133
CLUG_00039T0	1191	1556.59	2	0.491774
CLUG_00040T0	555	380.727	0	0
CLUG_00041T0	1380	1893.56	1	0.202129
CLUG_00042T0	1089	914.683	0	0
CLUG_00043T0	2451	3872.88	4	0.395308
CLUG_00044T0	2508	4123.43	2	0.185644
CLUG_00045T0	660	755.444	1	0.506649
CLUG_00046T0	1218	1662.89	242	55.7008
