target_id	length	eff_length	est_counts	tpm
CLUG_00001T0	1842	1320.49	10851	210.335
CLUG_00002T0	1425	927.961	3600	99.3007
CLUG_00003T0	1767	1292.48	2604	51.5697
CLUG_00004T0	1752	1189.03	7677	165.263
CLUG_00005T0	1113	603.501	1868	79.2279
CLUG_00006T0	954	464.241	1050	57.8929
CLUG_00007T0	1323	817.585	1168	36.567
CLUG_00008T0	1104	623.89	576	23.6316
CLUG_00009T0	873	449.132	873	49.753
CLUG_00010T0	750	379.267	577	38.9412
CLUG_00011T0	1803	1327.48	2172	41.8804
CLUG_00012T0	1413	888.54	650	18.7247
CLUG_00013T0	1518	1020.2	1728	43.3549
CLUG_00014T0	1086	560.928	882	40.2477
CLUG_00015T0	1638	1123.32	113	2.57486
CLUG_00016T0	951	464.234	816	44.9917
CLUG_00017T0	1008	507.453	3550	179.065
CLUG_00018T0	1467	952.4	95283	2560.8
CLUG_00019T0	1095	609.881	2661	111.681
CLUG_00020T0	1014	550.341	1306	60.7422
CLUG_00021T0	435	217.201	1105	130.22
CLUG_00022T0	990	491.75	4824	251.097
CLUG_00023T0	453	226.246	6458	730.627
CLUG_00024T0	666	344.683	2479	184.092
CLUG_00025T0	1371	816.662	1740	54.5363
CLUG_00026T0	4206	3518.07	2446	17.7964
CLUG_00027T0	1698	1156.72	3986	88.2037
CLUG_00028T0	858	434.706	11	0.647703
CLUG_00029T0	1359	823.193	2049	63.7118
CLUG_00030T0	594	297.913	19868	1707.04
CLUG_00031T0	207	103.793	0	0
CLUG_00032T0	1227	874.238	5788	169.464
CLUG_00033T0	711	362.854	557	39.2918
CLUG_00034T0	2391	1888.92	19351	262.222
CLUG_00035T0	2817	2205.91	4486	52.0536
CLUG_00036T0	5670	4917.56	3335	17.359
CLUG_00037T0	1224	750.709	1493	50.9058
CLUG_00038T0	798	419.695	900	54.8893
CLUG_00039T0	1191	698.181	1085	39.7778
CLUG_00040T0	555	277.926	134	12.3411
CLUG_00041T0	1380	874.996	1473	43.0899
CLUG_00042T0	1089	577.091	2941	130.446
CLUG_00043T0	2451	1981.16	1945	25.1292
CLUG_00044T0	2508	1956.83	2867	37.502
CLUG_00045T0	660	332.076	986	76.0008
CLUG_00046T0	1218	713.211	981	35.2071
CLUG_00047T0	1443	922.771	4485	124.408
CLUG_00048T0	1248	782.382	9590	313.746
CLUG_00049T0	1677	1178.19	8102	176.017
CLUG_00050T0	1374	858.551	1891	56.3773
CLUG_00051T0	978	504.885	2235	113.309
CLUG_00052T0	4236	3590.45	7741	55.1857
CLUG_00053T0	1485	998.143	2296	58.8787
CLUG_00054T0	1476	987.159	2018	52.3255
CLUG_00055T0	1056	580.335	6360	280.516
CLUG_00056T0	2169	1629.92	1218	19.1276
CLUG_00057T0	1629	1134.43	4876	110.018
CLUG_00058T0	930	488.207	2383	124.939
CLUG_00059T0	717	356.73	619	44.415
CLUG_00060T0	1044	575.433	1672	74.3739
CLUG_00061T0	960	560.263	1470	67.1591
CLUG_00062T0	1170	674.286	1047	39.7449
CLUG_00063T0	3522	2863.05	3410	30.4863
CLUG_00064T0	870	444.319	1330	76.6189
CLUG_00065T0	1035	536.089	827	39.4864
CLUG_00066T0	2259	1670.4	2038	31.2293
CLUG_00067T0	513	256.551	198	19.7547
CLUG_00068T0	1251	865.744	640	18.9221
CLUG_00069T0	1290	800.445	2566	82.0549
CLUG_00070T0	804	404.077	448	28.3787
CLUG_00071T0	1314	755.509	1441	48.8206
CLUG_00072T0	2151	1627.37	13251	208.422
CLUG_00073T0	4293	3665.13	17298	120.805
CLUG_00074T0	1359	873.176	3315	97.1764
CLUG_00075T0	990	532.289	7505	360.896
CLUG_00076T0	693	363.404	2327	163.903
CLUG_00077T0	1938	1326.78	7562	145.888
CLUG_00078T0	1086	571.163	18729	839.332
CLUG_00079T0	420	212.686	159	19.1354
CLUG_00080T0	2019	1500.95	3869	65.9797
CLUG_00081T0	1542	1038.79	2918	71.9012
CLUG_00082T0	1464	971.804	3456	91.0278
CLUG_00083T0	1581	1066.35	3793	91.0459
CLUG_00084T0	792	405.116	1171	73.9872
CLUG_00085T0	723	365.14	2179	152.749
CLUG_00086T0	1629	1210.33	17441	368.848
CLUG_00087T0	1977	1406.85	1954	35.5514
CLUG_00088T0	3246	2682.22	3576	34.1257
CLUG_00089T0	2217	1694.92	1762	26.6095
CLUG_00090T0	1011	528.402	6816	330.175
CLUG_00091T0	960	492.872	818	42.4813
CLUG_00092T0	450	228.22	1204	135.037
CLUG_00093T0	1197	709.561	5480	197.683
CLUG_00094T0	555	277.926	1330	122.49
CLUG_00095T0	1509	1061.28	1879	45.3184
CLUG_00096T0	1032	545.873	2180	102.222
CLUG_00097T0	2691	2126.71	6598	79.4114
CLUG_00098T0	1398	895.689	1500	42.866
CLUG_00099T0	1839	1294.42	9074	179.433
CLUG_00100T0	852	419.899	581	35.4169
CLUG_00101T0	1290	774.877	1642	54.24
CLUG_00102T0	522	261.119	1143	112.044
CLUG_00103T0	807	399.577	2239	143.428
CLUG_00104T0	570	285.597	505	45.2603
CLUG_00105T0	1662	1143.86	1995	44.6424
CLUG_00106T0	2946	2325.94	1561	17.1785
CLUG_00107T0	690	347.762	678	49.903
CLUG_00108T0	501	250.469	652	66.6304
CLUG_00109T0	1842	1308.32	113	2.21076
CLUG_00110T0	495	247.432	689	71.2757
CLUG_00111T0	1737	1201.87	2454	52.2632
CLUG_00112T0	621	311.834	4019	329.893
CLUG_00113T0	894	444.993	2180	125.396
CLUG_00114T0	687	346.189	5899.01	436.159
CLUG_00115T0	666	335.205	789.993	60.3242
CLUG_00116T0	3180	2621.29	3822	37.3212
CLUG_00117T0	2385	1833.15	4594	64.1464
CLUG_00118T0	2070	1574.05	5413	88.0236
CLUG_00119T0	891	470.336	735	39.9998
CLUG_00120T0	1467	984.467	3514	91.365
CLUG_00121T0	2064	1537.59	4695	78.1583
CLUG_00122T0	1017	501.187	2678	136.77
CLUG_00123T0	1098	608.725	72415	3045
CLUG_00124T0	3042	2466.27	10188	105.737
CLUG_00125T0	471	235.311	851	92.569
CLUG_00126T0	852	434.455	1738	102.396
CLUG_00127T0	801	406.772	1022	64.3101
CLUG_00128T0	669	336.771	325	24.7017
CLUG_00129T0	753	381.056	3999	268.622
CLUG_00130T0	540	270.275	2783	263.564
CLUG_00131T0	2982	2451.04	2440.75	25.489
