target_id	length	eff_length	est_counts	tpm
CLUG_00001T0	1842	1907.84	432	46.0831
CLUG_00002T0	1425	1380.96	156	22.9902
CLUG_00003T0	1767	1742.78	119	13.8965
CLUG_00004T0	1752	1732.82	738	86.6768
CLUG_00005T0	1113	996.199	23	4.69873
CLUG_00006T0	954	795.212	30	7.67781
CLUG_00007T0	1323	1319.53	114	17.5826
CLUG_00008T0	1104	993.591	8	1.63863
CLUG_00009T0	873	763.927	58	15.4517
CLUG_00010T0	750	660.049	20	6.1667
CLUG_00011T0	1803	1783.4	105	11.9823
CLUG_00012T0	1413	1425.15	66	9.42503
CLUG_00013T0	1518	1510.83	21	2.8288
CLUG_00014T0	1086	1006.27	834	168.676
CLUG_00015T0	1638	1556.47	898	117.418
CLUG_00016T0	951	775.472	416	109.176
CLUG_00017T0	1008	843.81	444	107.087
CLUG_00018T0	1467	1324.06	579	88.9962
CLUG_00019T0	1095	1046.38	195	37.9265
CLUG_00020T0	1014	955.629	260	55.3711
CLUG_00021T0	435	275.935	146	107.682
CLUG_00022T0	990	827.158	197	48.4704
CLUG_00023T0	453	357.211	3117	1775.87
CLUG_00024T0	666	545.412	15860	5918.04
CLUG_00025T0	1371	1261.12	302	48.7361
CLUG_00026T0	4206	4395.98	1200	55.5551
CLUG_00027T0	1698	1676.87	25	3.03417
CLUG_00028T0	858	722.797	68	19.1466
CLUG_00029T0	1359	1291.32	29	4.5705
CLUG_00030T0	594	496.725	1	0.409716
CLUG_00031T0	207	59.579	4499	15368.2
CLUG_00032T0	1227	1224.11	4682	778.411
CLUG_00033T0	711	597.195	3341	1138.57
CLUG_00034T0	2391	2421.31	47	3.95044
CLUG_00035T0	2817	2851.9	24	1.71268
CLUG_00036T0	5670	5920.36	264	9.07517
CLUG_00037T0	1224	1202.81	49	8.29083
CLUG_00038T0	798	734.498	21	5.81873
CLUG_00039T0	1191	1078.95	84	15.8444
CLUG_00040T0	555	428.311	34	16.1554
CLUG_00041T0	1380	1185.76	58	9.95472
CLUG_00042T0	1089	967.314	46	9.67809
CLUG_00043T0	2451	2406.74	90	7.61047
CLUG_00044T0	2508	2480.52	74	6.07138
CLUG_00045T0	660	521.472	42	16.3914
CLUG_00046T0	1218	1134.46	116	20.8098
CLUG_00047T0	1443	1395.46	50	7.29206
CLUG_00048T0	1248	1157.06	1390	244.487
CLUG_00049T0	1677	1690.51	548	65.9723
