"","L1B.r1","L1B.r2","L1B_benomyl.r1","L1B_benomyl.r2","L4C.r1","L4C.r2","L4C_benomyl.r1","L4C_benomyl.r2","U10D.r1","U10D.r2","U10D_benomyl.r1","U10D_benomyl.r2","U3B.r1","U3B.r2","U3B_benomyl.r1","U3B_benomyl.r2","U3E.r1","U3E.r2","U3E_benomyl.r1","U3E_benomyl.r2","U5C.r1","U5C.r2","U5C_benomyl.r1","U5C_benomyl.r2"
"CLUG_00043T0",871,781,129,162,2033,2152,265,378,1043,1366,173,322,1817,1278,165,172,1593,1146,435,698,1701,1536,288,357
"CLUG_00044T0",949,1048,85,99,2739,2432,198,258,1221,2100,134,149,2205,2109,231,179,2115,1591,189,329,1986,1830,120,112
"CLUG_00045T0",175,127,500,680,583,471,717,762,331,443,829,1434,835,1015,688,460,696,859,829,1287,586,645,710,921
"CLUG_00046T0",338,205,44,44,717,884,83,72,341,487,63,74,1149,1088,94,80,687,607,107,228,799,765,104,110
"CLUG_00047T0",5263,3561,6671,8478,6113,9764,9507,9773,5152,4220,8270,10505,7403,4535,6405,5561,4256,2624,14081,19224,4995,5572,16386,13482
"CLUG_00048T0",6577,5837,3147,3798,11016,12232,3139,3288,6516,7797,4683,4598,5928,4285,701,1109,5902,5968,4925,4809,5990,5546,1876,1625
"CLUG_00049T0",5000,3994,806,1035,7919,8961,1458,1593,5963,6726,1488,1573,6535,5009,1417,1154,6211,4975,1723,1918,5929,6202,1473,1408
"CLUG_00050T0",1007,978,233,230,2048,2156,343,413,1305,1452,282,295,2078,1454,573,607,1600,1204,310,486,1712,1643,266,315
"CLUG_00051T0",1038,990,22230,24673,1508,1631,40755,28947,1067,1332,23134,28434,1601,1570,26640,23581,1537,1551,22204,26737,1427,1638,29698,28159
"CLUG_00052T0",2824,2333,644,746,6491,5936,1123,1058,2887,4447,869,739,5087,5009,989,1030,5332,4314,1892,2596,5840,5267,3196,2735
"CLUG_00053T0",1047,802,157,182,1761,1829,163,202,989,1365,150,194,1650,1422,168,224,1418,1413,368,508,1623,1499,528,486
"CLUG_00054T0",958,691,179,226,1533,1371,279,208,1025,1283,224,179,1806,1443,168,237,1562,1106,536,828,1295,1372,819,857
"CLUG_00055T0",6053,4492,340,412,5893,6873,481,475,6043,6296,373,312,7008,5505,375,429,5941,4794,470,588,8633,9270,590,571
"CLUG_00056T0",695,486,236,256,1274,1367,617,547,798,945,263,329,776,566,1055,696,962,690,343,378,825,807,691,673
"CLUG_00057T0",2111,1663,4285,4954,2966,3557,6449,5986,2023,2581,6009,7318,2919,3210,2527,1917,3021,2922,4111,4276,3411,3429,7853,8027
"CLUG_00058T0",1062,754,278,365,1798,1901,335,322,1139,1498,506,740,2286,1991,267,211,1939,1556,1047,1503,1995,1959,913,1025
"CLUG_00059T0",421,300,455,521,722,715,1048,530,372,468,599,708,598,476,316,255,574,470,255,335,598,481,493,356
"CLUG_00060T0",886,730,157,234,1560,1755,173,294,1037,1204,265,364,1583,1193,111,94,1359,1038,277,485,1432,1494,141,216
"CLUG_00061T0",1072,1012,143,258,1321,1341,112,176,916,1272,195,314,840,688,146,153,1035,1013,478,684,1159,1107,248,402
"CLUG_00062T0",376,212,91,197,980,1036,196,249,512,681,186,335,1116,747,248,198,992,765,233,412,886,700,224,189
"CLUG_00063T0",1913,1279,176,218,3875,4470,295,513,2770,2852,292,423,2248,1538,233,307,2222,1833,220,359,1816,1745,169,187
"CLUG_00064T0",665,380,452,559,1151,1271,1253,1149,582,922,779,1384,1080,991,564,489,1064,970,715,1043,1305,1227,1399,1311
"CLUG_00065T0",304,200,182,333,653,832,618,963,347,607,478,969,669,625,312,272,786,603,315,667,786,766,1183,1386
"CLUG_00066T0",959,647,132,120,1886,1604,165,191,690,1249,166,158,1333,1390,405,347,1457,1219,44,65,1749,1437,115,84
"CLUG_00067T0",167,118,30,30,544,544,34,53,226,364,45,45,454,319,142,97,438,294,9,15,370,327,34,32
"CLUG_00068T0",202,95,42,45,591,610,18,50,219,380,28,40,432,423,114,171,487,382,10,16,330,335,37,29
"CLUG_00069T0",794,727,167,266,1962,1931,297,332,888,1354,385,465,2072,1741,95,92,1895,1398,731,1018,2114,1883,757,797
"CLUG_00070T0",234,166,32,52,519,506,21,62,240,328,35,83,339,261,40,36,335,276,52,57,404,337,31,41
"CLUG_00071T0",865,682,80,116,1525,1646,114,103,818,1080,151,141,1205,891,57,71,1103,831,122,203,1273,1071,67,93
"CLUG_00072T0",4661,2453,351,453,5878,8556,613,611,7604,5273,703,556,15948,16754,420,434,9707,7277,547,765,11864,13157,240,266
"CLUG_00073T0",6474,5402,676,978,11790,12212,1039,1188,7205,9380,1048,1096,10314,9801,448,584,10412,8716,2459,2905,9921,9320,1512,1425
"CLUG_00074T0",4753,3278,405,502,5661,6565,336,257,4788,4501,420,266,2234,1099,179,240,2090,2163,445,388,4652,4297,294,217
"CLUG_00075T0",5657.59491463363,4715,49709.4966534839,58562.720597297,5417,8215,63089.6314948043,77179.6268610131,5050,5368,55470.2187481016,59046.8695095985,5701.54565623291,4819,65569.3188438624,63075.464934,4959,4613,61957.2035908318,77213.410781829,4689,5827,70117.1539932989,70759.7024749
"CLUG_00076T0",2116.40508536637,2106,19587.5033465161,22559.279402703,2649,3982,13651.3685051957,33398.3731389869,2823,2846,28797.7812518984,28872.1304904015,2811.45434376709,1958,28193.6811561376,26970.535066,2425,1631,23582.7964091682,37301.589218171,2095,2595,34319.8460067011,34132.2975251
"CLUG_00077T0",4606,3393,1083,1332,8695,8708,3720,2946,5664,6296,1180,1459,4415,3209,1791,1833,5031,4485,2986,3746,5826,5662,1439,1862
"CLUG_00078T0",6994,3219,978,1083,8177,12579,2795,2357,7429,7472,1481,1797,27591,22718,1459,1434,16350,13505,2096,2728,23551,23875,1155,1300
"CLUG_00079T0",194,215,82,82,369,330,58,176,225,241,87,133,212,141,257,358,249,185,36,53,245,203,104,51
"CLUG_00080T0",1851,1548,386,336,3137,3108,624,481,1974,2305,618,529,2648,2331,340,441,2456,2003,1010,1161,2605,2403,1258,1179
"CLUG_00081T0",1483,1057,397,414,2967,2945,850,871,1653,2331,513,732,2152,1280,1643,1167,2066,1488,572,886,1678,1479,756,735
"CLUG_00082T0",1259,1005,394,525,2417,2407,778,999,1842,1931,929,1569,2634,1755,644,849,2189,1893,976,1485,1989,2034,576,582
"CLUG_00083T0",1338,1063,414,522,2534,2912,672,606,1628,1835,454,390,2514,1964,539,570,2594,2043,235,342,2313,2234,496,436
"CLUG_00084T0",395,304,246,251,805,847,361,351,401,562,277,285,1506,1398,519,449,869,756,244,515,1040,1041,410,490
"CLUG_00085T0",1187,1019,24029,26662,1689,2224,51568,28696,1208,1287,22321,24835,2862,2212,48254,32177,1945,1463,7645,10726,2617,2739,18890,18122
"CLUG_00086T0",14581,7372,22140,24152,14708,18597,20279,17072,11784,10952,15799,16681,8814,6863,28724,39271,8470,9832,2225,1814,10681,11807,4052,5331
"CLUG_00087T0",1014,761,14776,14673,1686,1830,24483,17520,1035,1135,12484,13322,1303,1089,25973,25935,1167,1076,3127,3713,1820,1703,8198,8632
"CLUG_00088T0",1012,781,393,389,2493,2361,559,421,1018,1604,471,656,2360,2246,487,585,2310,1873,855,1016,2524,2072,984,1107
"CLUG_00089T0",580,441,174,172,1952,1591,495,580,630,1096,170,189,1336,1115,633,513,1444,964,129,170,1245,1119,422,421
"CLUG_00090T0",4615,3924,965,1228,7222,6978,1337,1241,4039,5383,1379,1760,4976,3844,462,540,4753,4577,2204,2529,5238,4416,1027,1025
"CLUG_00091T0",338,245,139,165,549,580,270,329,294,417,155,278,658,722,164,163,629,525,207,317,703,656,619,634
"CLUG_00092T0",1398,1293,291,371,2402,2323,506,503,1332,1611,395,569,2309,1929,177,191,1982,1760,486,665,2126,2120,496,505
"CLUG_00093T0",2719,2292,3834,4274,4404,4511,6193,3136,2796,3257,4170,4474,3900,3077,5090,4528,3606,3145,2520,3127,4930,4600,2383,2494
"CLUG_00094T0",1991,2059,513,585,1726,2034,557,378,1643,1658,401,419,1436,1047,408,471,1503,1159,743,774,1635,1654,270,152
"CLUG_00095T0",1933,1265,917,1043,1829,2026,301,373,1760,1758,773,579,1209,967,715,1065,1143,1089,700,864,1646,1532,857,837
"CLUG_00096T0",854,519,230,351,2198,1903,347,443,851,1401,612,833,2445,2043,421,299,1932,1374,1118,1596,1958,1798,1242,1301
"CLUG_00097T0",2815,1735,134,180,6019,6235,144,170,3378,4134,129,102,5185,4627,94,169,5593,3624,110,195,4622,4178,67,39
"CLUG_00098T0",245,153,86,72,446,582,67,62,278,193,52,32,281,204,0,94,335,343,201,202,353,288,12,14
"CLUG_00099T0",4954,3537,1592,1432,6486,9184,1409,1631,5034,5117,1252,1458,6396,4876,2383,3434,6049,5213,1460,1640,7296,6669,995,934
"CLUG_00100T0",213,127,80,91,421,394,30,23,185,273,28,34,414,450,25,111,317,371,104,96,387,297,17,9
"CLUG_00101T0",736,724,55,110,1472,1327,115,108,809,1059,121,111,1195,1027,48,52,1073,923,295,351,1054,1051,149,178
"CLUG_00102T0",1536,1148,120,165,1436,1625,150,109,1265,1297,231,199,1520,1456,36,68,1189,1303,486,416,1796,1573,110,120
"CLUG_00103T0",914,861,193,307,2036,1680,389,359,1085,1568,487,789,2299,1818,144,132,2014,1685,574,897,1942,1644,304,377
"CLUG_00104T0",352,279,29,30,487,519,60,22,308,370,33,43,532,409,4,7,421,367,96,177,624,566,143,116
"CLUG_00105T0",584,472,170,208,1011,1063,303,264,544,837,185,277,1779,2078,242,174,1157,1026,288,592,1276,1199,472,499
"CLUG_00106T0",698,588,52,92,1364,1422,81,128,800,1075,65,115,1085,886,20,28,1164,834,160,228,1212,1086,140,114
"CLUG_00107T0",392,228,29,23,688,620,34,27,332,471,58,44,616,537,8,15,540,443,48,67,520,424,30,28
"CLUG_00108T0",370,233,792,840,601,737,2307,1566,303,459,631,866,1934,2169,3322,2246,960,850,201,311,1348,1243,499,534
"CLUG_00109T0",50,68,1629,1620,113,128,1591,2747,49,51,1296,1984,46,46,4472,5106,52,61,267,292,138,139,1038,1099
"CLUG_00110T0",365,242,54,87,664,700,79,71,388,571,65,70,716,539,50,98,652,525,65,100,826,743,67,70
"CLUG_00111T0",1021,857,906,882,1886,2002,515,1252,1096,1304,767,1105,1651,1311,1855,2622,1633,1262,338,452,1544,1486,650,673
"CLUG_00112T0",3656,2415,824,1036,5761,5714,1253,1004,3371,4237,1732,2268,4610,4000,919,872,4481,4415,2453,2391,4909,4557,1054,1037
"CLUG_00113T0",1658,1411,396,500,1882,1584,846,750,1336,1656,445,515,1867,1400,1086,1054,1636,1409,298,475,2108,2057,600,569
"CLUG_00114T0",3040,2909,1273,1480,5035,5024,1420,1687,3717,5220,3671,7100,10919,10421,772,883,6959,5302,5509,6528,10693,9872,9541,10617
"CLUG_00115T0",229,4,259,316,2,4,156,328,2,0,124,153,6,437,499,579,3,285,445,26,2,6,224,265
"CLUG_00116T0",1098,727,187,311,1949,2599,363,386,1291,1864,335,490,2150,2239,94,189,2383,1876,596,963,2413,2398,2237,2089
"CLUG_00117T0",1938,1181,480,553,2916,3639,638,888,2064,2549,546,625,2967,3013,1099,1289,2475,2396,587,724,3267,3041,715,732
"CLUG_00118T0",2776,2009,1425,1809,4193,4652,4355,4216,2423,2755,1603,2442,3479,2876,3463,3022,3272,3043,1942,1948,3667,3231,2500,2449
"CLUG_00119T0",393,251,71,125,731,816,145,143,377,490,61,96,683,485,56,110,575,478,69,111,697,650,152,73
"CLUG_00120T0",1243,908,152,221,2895,3102,162,154,1746,2079,179,137,2428,2079,37,205,2533,2087,120,172,2485,2500,41,49
"CLUG_00121T0",1095,664,3409,5242,1842,2179,8168,9303,1522,1440,3308,4801,1828,1696,3940,4266,1953,2399,14935,17549,2280,2331,10348,10668
"CLUG_00122T0",1597,1331,108,125,2906,2743,198,174,1698,2062,193,165,2634,1997,66,82,2417,1671,358,367,2250,2133,111,91
"CLUG_00123T0",44522,36974,3873,6462,75231,79514,7480,8961,32755,52556,5203,6008,66986,51215,3237,3009,66083,43992,3900,7304,56423,48169,2794,2544
"CLUG_00124T0",4720,5586,1011,1339,8178,9561,1462,1734,5280,6222,1477,1831,7127,5769,1130,1134,6904,5430,2680,3437,7220,7189,1464,1553
"CLUG_00125T0",377,299,140,138,721,807,335,267,429,573,231,220,2045,2155,569,374,1121,866,354,668,1330,1385,652,673
"CLUG_00126T0",505,556,115,151,926,792,216,219,462,759,156,174,2205,2393,459,256,1261,1022,197,410,1226,1126,132,162
"CLUG_00127T0",512,400,120,128,826,876,163,248,579,590,175,217,888,716,346,377,755,714,200,178,781,676,487,469
"CLUG_00128T0",160,133,36,67,307,302,121,90,128,210,61,71,327,284,211,143,271,226,38,38,311,279,43,76
"CLUG_00129T0",568,1128,169,276,2703,1332,485,416,544,1762,439,753,2830,4746,331,176,2913,2946,867,2491,2665,2761,1142,2593
"CLUG_00130T0",1410,892,1222,1513,2463,2220,2232,1656,1248,1659,2403,3279,4018,4517,3021,1940,2591,2313,3425,5474,2533,2447,5695,6531
"CLUG_00131T0",762.671019329555,598.856809275265,272.280220865124,332.065504710567,2490.18786664043,2706.78295124092,520.234463120506,1167.04608176249,1138.25561572614,1622.65407287612,337.757887576237,492.097531546735,1688.29216373748,1459.68745839806,1086.88994616491,1340.74853970101,1769.14537428789,1298.49770874003,616.449860428542,1369.29142938501,1753.59387115154,1507.08707210731,1295.3717698372,1981.63392665833
"CLUG_00132T0",431,286,74,89,1116,1093,235,494,616,727,107,207,792,636,398,330,889,585,229,621,800,706,562,806
"CLUG_00133T0",434,303,62,114,829,1022,327,513,473,628,103,197,716,561,432,331,735,465,242,624,748,621,511,659
"CLUG_00134T0",3020,3023,3369,3968,4605,4362,4356,5084,3374,4193,3684,4835,4506,3707,9013,9160,4148,3946,2614,3450,4675,4752,4511,6086
"CLUG_00135T0",860,760,7988,8571,2572,2410,17496,22150,979,1535,7149,13563,2218,1984,30888,32145,2137,1638,3687,4353,2123,1845,17047,19350
"CLUG_00136T0",266,187,5695,7795,287,372,11311,13156,231,251,5928,10663,332,272,15655,16528,336,274,2907,3670,274,343,8916,7970
"CLUG_00137T0",4456,2958,38980,49038,4993,6220,52739,50417,7058,4684,43832,51959,9014,8705,35056,39808,6862,7990,41899,47055,6366,7280,59167,60770
"CLUG_00138T0",2348,1565,1438,1779,4316,4106,4070,4648,2652,3157,2121,2690,3847,3335,4595,4564,3372,2900,3142,3911,3057,2696,2793,3310
"CLUG_00139T0",2131,2601,133,153,3052,3269,246,259,3126,3306,177,185,3618,3161,183,220,3137,2553,191,192,3275,3575,119,109
"CLUG_00140T0",2588,2249,392,625,3497,3633,566,519,3386,3878,943,954,2480,1323,207,177,2894,2378,884,1004,3387,2699,590,451
"CLUG_00141T0",910,750,526,717,1737,1881,1304,2006,1111,1379,843,1567,1620,1472,933,801,1570,1246,1135,1785,1609,1588,3454,3221
"CLUG_00142T0",917,675,286,433,1568,2197,564,1009,1002,1643,613,1453,1945,2200,267,359,2115,1858,1045,1834,2385,2489,2871,2632
"CLUG_00143T0",441,473,137,168,1340,1393,163,538,667,906,204,303,801,852,434,491,1100,804,218,316,970,916,648,674
"CLUG_00144T0",1185,984,226,299,2814,2512,709,857,1289,1834,304,499,2312,1822,764,618,2039,1464,336,666,2114,1970,764,887
"CLUG_00145T0",1018,1248,222,247,1527,1650,506,423,979,1317,226,260,1834,1298,527,532,1488,1223,243,384,1715,1745,321,318
"CLUG_00146T0",185,118,30,32,255,264,37,28,178,204,35,29,252,182,29,42,245,159,61,61,249,200,49,53
"CLUG_00147T0",427,243,19,46,795,773,43,57,431,577,50,32,577,495,86,60,562,482,17,26,664,509,30,30
"CLUG_00148T0",3880,2460,1942,2568,5338,5214,5057,3912,3439,4585,3383,5830,12882,13510,2376,1391,8724,7576,4989,7637,13961,12808,10473,14041
"CLUG_00149T0",2395,1372,97,120,3922,4229,176,201,2861,3110,218,125,2278,1797,233,246,2986,2582,278,341,2215,1839,82,78
"CLUG_00150T0",253,708,13,10,633,344,11,27,269,454,17,8,535,642,27,27,513,395,9,11,711,711,13,7
"CLUG_00151T0",746,11,218,243,9,5,3,8,2,6,1,7,2,283,6,51,4,342,385,1,6,7,3,24
"CLUG_00152T0",80052,128380,12614,13284,74918,62066,12895,8121,48330,53726,14288,12075,61521,45467,2308,3174,69399,49861,40654,33139,86837,64015,17603,11106
"CLUG_00153T0",1401,1242,426,557,2424,2101,580,676,1391,1861,659,902,2665,2592,269,232,2167,1998,1524,1863,2322,2186,1158,1073
"CLUG_00154T0",415,327,57,83,1006,984,83,93,524,675,125,121,1030,768,72,51,964,643,220,315,985,864,262,222
"CLUG_00155T0",1217,1032,612,788,2515,2418,957,930,1210,1653,1184,1544,2484,2119,339,277,2039,1690,1695,2502,2267,2162,2830,2927
"CLUG_00156T0",401,157,365,387,694,735,363,372,546,703,124,147,324,441,1190,1261,711,814,110,126,382,561,189,120
"CLUG_00157T0",14809,18037,10783,12735,1220,1280,12495,7974,5337,4769,5980,6327,4517,5397,19217,14295,3207,2146,12193,15418,4832,5069,8521,8384
"CLUG_00158T0",1671,2092,4868,5173,2320,2100,9115,6152,1442,1931,5092,5262,2686,2388,10731,9694,2300,1856,3494,3678,3295,3033,4779,4580
"CLUG_00159T0",1356,1394,1457,1788,2461,2180,3520,2922,1251,1786,2074,3347,3790,4452,3976,1884,2983,2613,2876,4975,3201,3192,4584,6977
"CLUG_00160T0",3785,3336,1378,1801,7705,8792,4956,8199,4916,6325,1781,2725,5121,4476,3941,4135,5454,4075,4419,5400,5096,4693,5216,4983
"CLUG_00161T0",220,143,73,112,283,418,193,434,235,253,86,129,308,221,122,255,365,227,145,187,316,399,194,214
"CLUG_00162T0",758,518,234,321,1239,1609,499,1144,867,1033,247,383,1103,959,478,815,1195,1000,459,531,1116,1274,591,605
"CLUG_00163T0",2601,1303,22025,26310.9980141326,2242,2879,33312,34106,2031,2364,22968,28193,9273,11474.9446781928,18092,17231,2824,2778,24618,24916,14253,19097.9639646932,51962.9963515426,50735
"CLUG_00164T0",580,419,223,287,1189,1152,492,530,745,934,304,440,785,581,285,424,887,779,182,195,815,775,290,344
"CLUG_00165T0",1130,753,249,301,2094,2522,583,661,1162,1793,492,727,2131,2255,258,293,2398,1960,542,988,2499,2505,2332,2141
"CLUG_00166T0",4381,4498,200,278,9223,10164,355,450,5439,6679,293,317,5551,4511,247,340,7197,6364,761,911,8443,8112,211,234
"CLUG_00167T0",377,313,215,246,701,747,412,304,403,518,409,608,772,720,226,213,673,592,669,1010,720,642,972,903
"CLUG_00168T0",1686,1532,255,336,3402,3223,409,473,1690,2195,415,391,3054,2631,209,276,2682,2149,1037,1202,3085,2883,854,747
"CLUG_00169T0",1632,1199,110,119,3366,3346,144,192,1668,2231,166,150,2152,1784,125,183,2181,1761,119,96,2134,2288,123,90
"CLUG_00170T0",22399,15235,18070,21715,31114,31256,15022,13046,23224,23677,26401,26038,27693,25399,12083,13998,23478,20776,38491,40231,28894,28854,50073,50940
"CLUG_00171T0",44637,32329.0544230664,820,1170,47582,40481,1398,1205,28140.6049415905,31239,938,807,23265.0834663578,27864.1209876676,1283,876,21034,21870,436.250379893833,683,15498,15402,277,298
"CLUG_00172T0",625,1244,347,234,469,518,428,396,717,982,214,255,207,226,1218,972,309,346,117,66,277,320,321,223
"CLUG_00173T0",104,333,56,39,117,146,54,118,194,275,63,72,52,33,251,261,96,81,31,16,79,76,105,41
"CLUG_00174T0",246,606,51,41,2027,786,55,64,305,780,46,46,33,68,66,163,107,96,19,14,43,52,50,54
"CLUG_00175T0",436,947,60,60,3240,1271,144,151,510,1321,65,113,78,113,149,153,228,228,50,43,96,92,68,75
"CLUG_00176T0",29839,50172,3579,4852,80135,43915,4915,3656,38751,59484,8678,8429,45349,39841,3016,2759,41511,24789,3984,5635,50155,44616,3652,3397
"CLUG_00177T0",6709,6301,2389,3418,10250,13059,3349,4102,10059,10266,4460,6583,13178,9404,3555,3577,11135,8457,4419,5727,9986,11078,2920,2747
"CLUG_00178T0",100334.562439541,63626.4322537766,65290.5860264718,78362.5156193653,118378.549510647,120786.495423915,80805.3807144596,82688.7802317556,87678.2127042716,102665.50928021,103044.565896247,160233.109611028,174991.179248393,162092.88349628,63813.2405261422,60886.0775670404,126990.742053614,119633.036858775,134174.098412839,141810.517027946,156412.148348314,143925.216126069,178629.103442643,210128.862234576
"CLUG_00179T0",7874,3375,1032,1457,18766,31125,1056,1089,26563,27151,3062,1312,26148,15099,255,456,25466,14780,2793,1815,38452,32493,369,190
"CLUG_00180T0",962,712,80,117,1863,1786,116,125,942,1208,174,106,769,568,67,88,1260,1080,284,256,1081,1018,109,101
"CLUG_00181T0",625,1093,131,127,1193,1148,126,216,679,852,164,243,1022,801,236,190,945,590,165,267,1251,1078,252,187
"CLUG_00182T0",207,174,164,247,428,480,124,105,212,316,109,147,1070,1214,311,601,682,597,179,313,787,846,190,197
"CLUG_00183T0",2786,3869,13442,15554,5699,5417,17530,23377,4024,5262,14560,23879,5175,5073,30053,35983,5663,5660,14395,16022,4999,5304,13935,14830
"CLUG_00184T0",729,461,100,113,1493,1292,65,75,686,1017,126,100,1304,1763,89,135,1069,1412,91,92,1259,1177,33,23
"CLUG_00185T0",408,252,114,157,583,887,225,239,409,519,249,408,743,896,165,183,708,786,393,448,780,818,915,1290
"CLUG_00186T0",324,190,92,116,527,644,165,235,263,478,129,231,518,461,105,91,547,537,175,229,533,472,584,614
