"","L1B.r1","L1B.r2","L1B_benomyl.r1","L1B_benomyl.r2","L4C.r1","L4C.r2","L4C_benomyl.r1","L4C_benomyl.r2","U10D.r1","U10D.r2","U10D_benomyl.r1","U10D_benomyl.r2","U3B.r1","U3B.r2","U3B_benomyl.r1","U3B_benomyl.r2","U3E.r1","U3E.r2","U3E_benomyl.r1","U3E_benomyl.r2","U5C.r1","U5C.r2","U5C_benomyl.r1","U5C_benomyl.r2"
"CLUG_00001T0",4509,4165,2326,3367,7455,6463,2605,3417,3835,5459,3619,5668,7100,7407,2778,2529,6574,6080,5494,7013,8262,7471,9994,10381
"CLUG_00002T0",1435,1188,235,320,3022,2890,263,377,1493,2040,561,569,2735,2089,195,300,2531,2006,1002,1232,2350,2087,985,908
"CLUG_00003T0",1224,1084,106,153,2469,2084,217,217,1097,1565,147,199,1309,1130,76,126,1439,1543,61,105,1383,1294,38,35
"CLUG_00004T0",6130,6376,148,169,7787,7022,109,122,6053,6779,168,116,5424,3961,67,172,5154,4673,216,166,4922,4745,40,20
"CLUG_00005T0",942,661,98,112,1987,1896,162,198,1054,1347,159,259,1556,1179,189,325,1615,1109,358,538,1410,1239,293,225
"CLUG_00006T0",425,345,92,95,1345,1197,82,156,626,930,134,192,1022,712,161,244,975,698,208,424,912,847,236,182
"CLUG_00007T0",753,636,36,38,1355,1445,67,50,776,991,46,51,943,701,8,47,1102,786,55,94,1062,892,31,23
"CLUG_00008T0",271,171,60,58,487,477,85,121,291,377,83,112,385,315,111,157,415,343,123,202,417,360,336,347
"CLUG_00009T0",346,204,110,146,552,554,166,260,259,421,196,217,543,512,65,65,479,472,375,474,542,577,1185,1246
"CLUG_00010T0",314,206,75,103,452,596,176,202,278,406,142,206,430,362,94,100,496,388,155,301,629,576,536,501
"CLUG_00011T0",757,574,203,288,1308,1567,398,292,737,1088,340,448,1892,2134,327,262,1470,1217,641,1094,1593,1534,920,1073
"CLUG_00012T0",187,71,30,42,691,493,48,70,190,356,54,53,555,425,103,63,582,363,25,45,419,359,41,41
"CLUG_00013T0",502,362,1620,1760,1071,1132,4406,2984,590,688,1345,1753,1255,999,4507,3299,1059,948,1321,1515,2016,1885,2378,2701
"CLUG_00014T0",500,342,102,133,564,671,223,288,505,502,118,149,832,678,193,382,644,534,203,254,808,803,348,276
"CLUG_00015T0",49,42,162,153,48,47,185,502,48,41,90,167,37,42,431,554,27,26,113,147,25,46,220,276
"CLUG_00016T0",676,441,140,148,942,1058,412,552,723,912,94,187,735,426,418,513,653,532,143,209,487,499,243,245
"CLUG_00017T0",1328,888,207,268,2119,2349,654,597,1266,1498,161,211,1987,1462,542,570,1843,1441,131,199,2073,1834,251,270
"CLUG_00018T0",62842,41999,4207,5840,95454,106181,6559,6593,67085,55451,6863,5668,84995,65300,1792,1914,71017,58472,5664,8583,111411,106763,1637,1693
"CLUG_00019T0",2090,2321,20302,25963,1684,1292,45314,33159,1663,2382,20570,23568,1193,1454,20291,17062,1786,1796,49186,51353,2097,1999,39513,39926
"CLUG_00020T0",309,236,184,244,626,757,374,440,281,544,233,501,720,734,141,236,852,782,390,543,786,829,482,524
"CLUG_00021T0",1029,821,211,297,1407,1503,338,282,958,1139,283,346,1070,980,141,187,1007,1010,654,628,1034,1143,338,340
"CLUG_00022T0",3021,2359,1214,1660,4314,4099,3863,4194,2706,3179,1199,1829,4470,3671,7638,6006,3609,3139,1204,1350,4548,3994,5052,5622
"CLUG_00023T0",7747,7123,9315,12275,7392,7921,19374,15183,5778,6327,10046,12925,11478,9733,10305,9380,7990,7038,17949,22123,11312,11428,27208,27963
"CLUG_00024T0",1972,1372,1482,2105,2596,2446,1711,2785,1485,1873,784,1321,1810,1470,4029,4940,1788,1719,839,797,1804,1811,3757,3713
"CLUG_00025T0",542,416,334,436,957,1181,1136,1116,528,844,430,677,1096,1467,177,182,1110,1020,871,1194,1382,1390,2301,1613
"CLUG_00026T0",694,608,319,455,1321,1779,504,942,787,1218,427,747,1370,1878,152,253,1394,1291,1043,1113,1861,1856,2187,1582
"CLUG_00027T0",741,839,51,58,1149,1498,143,87,1692,2219,57,68,487,608,220,157,1269,2227,20,42,1339,1288,49,96
"CLUG_00028T0",29,25,11,9,26,38,0,0,39,18,3,11,4,2,13,15,4,7,2,0,11,13,1,1
"CLUG_00029T0",1563,874,143,188,1973,2953,311,253,1972,1668,294,255,1964,1312,402,263,1726,1259,675,781,2179,1641,286,261
"CLUG_00030T0",8895,5712,3506,4174,10599,11275,8060,5684,7599,9540,6137,9813,24752,25702,3729,2661,17798,15997,10136,14886,25162,24302,18679,22380
"CLUG_00031T0",246,225,298,366,225,361,92,72,245,264,98,110,321,248,32,444,374,330,104,104,579,625,57,19
"CLUG_00032T0",2716,2582,856,1035,2542,3811,514,525,3238,3397,626,664,2911,2791,96,1027,3887,3820,283,351,4023,5428,62,68
"CLUG_00033T0",286,220,248,261,425,523,44,67,405,346,49,56,411,295,13,437,467,416,69,46,403,371,14,20
"CLUG_00034T0",21380,14412,6695,7509,18508,24868,6278,6919,16342,13006,6400,6221,8924,5666,7860,10737,11526,10559,4629,4686,20264,18631,2749,3083
"CLUG_00035T0",2799,2222,189,233,3918,4491,208,277,2796,3035,252,242,2939,2366,234,279,3143,2512,568,743,3326,2895,285,242
"CLUG_00036T0",1902,1296,214,236,3335,3957,352,379,2036,2437,204,236,1643,1283,640,720,2046,1735,113,120,2258,1988,57,66
"CLUG_00037T0",1115,836,64,124,1797,1960,140,126,1266,1445,143,104,1340,1029,38,73,1461,1054,161,187,1291,1242,71,55
"CLUG_00038T0",527,304,51,61,570,518,89,98,757,623,105,91,779,1187,272,198,689,706,97,134,337,585,87,95
"CLUG_00039T0",563,407,38,71,1316,1132,75,44,547,777,54,32,953,904,62,64,841,705,52,62,841,786,20,11
"CLUG_00040T0",114,69,39,30,193,229,23,59,151,133,27,40,196,188,67,104,185,131,12,26,150,192,27,29
"CLUG_00041T0",849,658,186,142,1602,1713,187,208,924,1165,132,171,1426,1060,331,293,1392,902,112,174,1463,1371,142,132
"CLUG_00042T0",623,412,234,222,1304,1242,305,314,545,918,239,307,3539,4417,739,556,1879,1767,445,931,2229,2214,669,798
