,DHED1.r1,DHED10.r1,DHED11.r1,DHED12.r1,DHED13.r1,DHED14.r1,DHED15.r1,DHED16.r1,DHED17.r1,DHED18.r1,DHED19.r1,DHED2.r1,DHED20.r1,DHED21.r1,DHED22.r1,DHED23.r1,DHED24.r1,DHED3.r1,DHED4.r1,DHED5.r1,DHED6.r1,DHED7.r1,DHED8.r1,DHED9.r1
CLUG_05012,6570,4873,8375,5249,7538,3491,5789,4603,8305,3226,8060,4216,3766,8077,2883,7695,3600,7835,5733,9996,4026,10386,4867,7353
CLUG_05013,2720,1811,1733,1919,1280,540,264,702,2147,1260,1823,1013,1258,1786,590,1716,525,1416,1659,1169,1777,2626,1823,1371
CLUG_05010,4235,1966,3834,1526,4081,804,2630,991,3366,1283,2530,1496,1525,3215,624,2614,621,5188,1522,7351,933,7388,1104,4152
CLUG_05011,914,954,1903,1348,1027,688,757,857,2307,1767,2133,930,1559,2608,1906,2556,2265,1234,1378,1389,1331,1633,986,2037
CLUG_02048,27,8,18,6,26,21,22,14,31,53,15,33,101,98,20,102,27,26,34,31,8,36,19,21
CLUG_02049,940,117,1123,222,989,181,856,221,1034,88,934,315,163,3121,135,3008,180,1390,273,1808,272,1865,250,1313
CLUG_05014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLUG_05015,4899,7326,3442,5700,5610,3049,6881,3325,4736,1275,4125,4310,2206,4447,1839,5129,708,3011,4590,4224,4259,6113,4010,3919
CLUG_02044,409,88,227,155,401,38,328,0,55,75,60,54,49,168,171,276,171,598,84,638,89,508,54,128
CLUG_02045,4,5,4,3,4,2,3,16,4,9,2,4,34,14,4,7,14,5,12,5,9,7,4,4
CLUG_02046,1795,234,1795,248,1580,192,791,184,1918,273,1692,252,285,2729,137,2375,107,2259,272,2836,231,2902,221,1880
CLUG_02047,16447,4895,17665,4765,12497,1634,10860,2169,17814,370,16423,3409,423,31370,746,36300,850,21867,3112,22324,1813,24882,2298,18969
