,DHED1.r1,DHED10.r1,DHED11.r1,DHED12.r1,DHED13.r1,DHED14.r1,DHED15.r1,DHED16.r1,DHED17.r1,DHED18.r1,DHED19.r1,DHED2.r1,DHED20.r1,DHED21.r1,DHED22.r1,DHED23.r1,DHED24.r1,DHED3.r1,DHED4.r1,DHED5.r1,DHED6.r1,DHED7.r1,DHED8.r1,DHED9.r1
CLUG_02040,5027,6154,6421,7624,5866,3349,4520,4153,7480,2021,7508,4506,1923,8148,11335,9013,11632,5946,6219,6457,2785,7359,3062,6575
CLUG_02041,1143,294,2947,286,1373,242,774,311,2295,526,3143,303,562,2060,208,1980,260,1728,404,2445,316,2093,397,2197
CLUG_02042,1323,7729,24408,14155,874,2018,1751,2750,10539,3310,17463,2109,2494,9576,5475,14468,7774,1776,2470,2182,5118,2407,4594,11547
CLUG_02043,1723,1908,3894,1973,1888,522,1067,635,3992,683,4933,703,664,3256,914,3965,1509,2784,920,3803,1417,3040,1708,2999
CLUG_05016,956,1056,678,1669,984,375,1164,421,893,383,560,1040,441,1105,308,858,187,621,806,805,448,1180,588,726
CLUG_05017,2192,523,3273,545,3122,351,3191,522,4282,660,3936,392,786,4878,413,4371,482,2313,575,3074,626,3192,770,3380
CLUG_04947,1719,335,1628,313,1791,169,1081,321,722,183,806,161,413,1103,257,1192,268,1844,93,2138,330,2830,206,943
CLUG_04946,662,118,175,67,431,126,402,83,109,214,67,72,243,168,206,327,245,604,98,469,76,759,174,207
CLUG_04945,20672,316,9376,338,24698,312,15047,368,4192,297,4479,362,331,4657,445,8612,390,20208,315,22236,440,27980,522,7296
CLUG_04944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLUG_04943,4,7,4,8,5,7,5,7,5,13,4,8,9,5,6,5,8,4,9,4,5,4,5,4
CLUG_04942,1719,1167,1915,1172,2237,930,1757,959,1479,1914,1650,724,2053,1343,923,1634,1125,2065,1033,1516,1586,2491,1890,1390
CLUG_04941,172,183,107,151,201,85,180,83,64,96,100,61,201,50,67,65,98,205,143,149,111,229,228,88
CLUG_04940,980,197,413,351,703,23,828,76,120,174,26,111,190,232,143,279,69,1086,147,1108,301,1719,333,424
CLUG_04949,974,1072,1580,942,1240,508,705,712,1626,600,1621,704,621,1320,333,1363,580,983,1017,1311,771,1742,695,1334
CLUG_04948,2236,558,2581,343,3056,419,1756,383,1081,565,1376,411,464,1394,413,1972,512,2301,495,3201,474,3751,442,1765
CLUG_00406,120,334,557,136,117,157,41,159,328,346,557,44,410,563,229,560,389,253,159,132,197,247,420,436
CLUG_05018,2,10,0,13,2,46,4,44,2,180,0,41,228,2,53,6,61,8,63,0,69,2,76,2
CLUG_00159,1882,5043,4166,8250,2138,2568,2084,3073,5680,6532,6845,3322,3561,4739,7392,4783,11080,2619,5235,3584,5736,3177,5001,4361
CLUG_05019,987,1102,1683,1253,1198,407,862,654,1747,710,1741,613,569,1848,2168,1724,2235,1332,888,1678,780,1859,964,1510
CLUG_00408,1479,1194,2799,1372,2027,691,1239,1015,2636,808,3469,890,821,2532,2875,2730,3397,1987,1516,2586,963,3248,1500,2469
CLUG_00409,1266,1532,2026,1317,1750,573,1044,647,1670,378,2004,798,515,1439,1271,1555,1574,1705,1093,2246,615,2224,509,1625
CLUG_04055,2646,219,2714,229,2158,190,1538,296,3467,377,3069,232,625,3971,336,3477,226,3359,386,4266,202,4809,392,3526
CLUG_04054,1566,425,2073,399,1682,164,1248,254,2326,177,2038,302,326,2069,293,1668,257,2201,254,2873,188,2737,223,2123
CLUG_04057,538,349,905,657,490,188,373,244,1824,443,2069,231,211,1304,439,1180,547,790,381,1020,335,946,312,1169
CLUG_04056,1549,858,2958,1935,1360,383,948,402,3458,445,3365,825,430,4417,4053,4036,4314,2410,1632,2464,642,3173,753,3487
CLUG_04051,453,653,792,716,520,1086,339,1373,1022,2380,1109,1191,3037,1055,2074,1041,2011,783,1876,902,902,934,1072,888
CLUG_04050,580,651,1825,1096,630,1272,390,1292,3749,2507,5027,961,3044,2396,1153,2590,1100,901,1325,1005,1048,1193,1027,1968
CLUG_04053,10189,5292,10800,5283,9668,2222,8682,2729,10233,2103,9399,3659,2331,13312,2930,13220,3377,12913,4425,12323,1403,10498,1402,10697
CLUG_04052,3192,1267,2828,2165,2608,684,2399,736,3180,763,2353,973,1384,4169,2329,3757,2739,4225,1475,3683,1165,3372,894,3754
CLUG_04059,10553,937,6846,939,8737,495,7156,625,7052,477,6619,764,742,7717,393,6913,309,12265,639,14610,625,15119,625,9047
CLUG_04058,782,74,621,81,438,51,394,112,377,86,352,57,118,575,45,662,57,1073,100,795,95,610,96,520
CLUG_01669,1429,318,1656,426,1450,136,993,263,1902,254,1553,298,230,2243,482,2080,450,1805,353,2618,319,2715,411,2217
CLUG_01668,740,743,1283,1680,703,315,389,374,2850,1380,3164,775,749,2262,1893,1946,2503,981,1074,1168,557,1135,383,1726
CLUG_01665,5761,4359,9276,5161,6399,1120,4347,1370,11416,1181,12159,2191,1133,11649,5459,11424,6212,7736,2589,9248,1807,9607,1833,9505
CLUG_01664,6241,9509,9877,10960,6960,3573,4694,3922,11508,2842,11757,6865,2738,11268,13943,11216,14849,7499,10352,8758,4550,9591,4411,10220
CLUG_01667,394,280,1487,479,375,169,395,233,2954,472,3661,219,525,1787,498,1726,376,751,359,1156,271,1067,366,1516
CLUG_01666,1167,200,1480,259,1713,173,957,265,1685,219,1488,173,357,1776,352,1469,238,1376,237,2252,257,2156,303,1534
CLUG_01661,3113,3956,4876,5415,2902,2554,2561,3259,5204,2452,4806,3712,2562,5886,8942,5881,7700,4419,5262,4494,3704,5953,4101,5723
CLUG_01660,608,242,674,383,570,191,589,292,995,1152,658,260,890,905,542,864,289,735,478,1099,561,1216,466,986
CLUG_01663,6572,3847,4888,5285,4948,3672,4047,5657,6928,8150,5173,7276,6245,4361,5328,4140,5970,7143,14687,7102,5526,7648,7718,5136
CLUG_01662,56,37,25,26,12,115,32,87,6,716,49,134,888,16,261,16,189,51,216,168,37,64,191,19
CLUG_02440,5239,2172,6604,2463,5872,3936,4339,4958,7928,10899,7113,4229,9425,7035,4223,6752,5368,6259,5666,8170,7347,8358,7326,6870
CLUG_02441,3180,851,3125,939,3097,1551,4091,1942,5118,3566,3750,1782,4450,4612,2015,3922,2131,4002,2412,5116,2115,4521,2524,4622
CLUG_02442,257,234,268,196,372,652,209,664,274,757,289,359,1510,251,482,281,464,304,498,478,465,444,679,252
CLUG_02443,1073,419,1298,531,1006,1375,848,1519,1776,3174,1518,1323,4225,1735,1766,1464,2000,1446,1905,1925,1270,2046,2300,1577
CLUG_02444,57,921,315,1182,85,3162,118,4258,286,5592,708,3220,6107,280,2860,258,3563,183,5216,324,5426,155,6145,258
CLUG_02445,4738,63528,7694,67180,5531,78079,2617,94149,6029,53585,6387,63501,60432,9631,85403,9991,84028,6529,79445,8704,102496,9504,79404,7200
CLUG_05490,1294,84,1673,56,1434,120,1050,165,1340,86,1118,132,128,1587,37,1291,60,1652,193,2518,178,2389,170,1526
CLUG_02447,15925,35440,35294,41997,18883,19549,10545,24728,54290,27455,59711,25932,26003,41150,59393,38483,66303,19633,42387,20148,44002,22544,38333,36466
CLUG_01481,363,472,804,619,428,230,316,354,894,404,936,266,381,874,1268,901,1268,537,652,747,626,687,605,749
CLUG_01480,21958,3604,17208,4204,20235,4095,15423,5097,23430,14617,19592,3393,16892,19671,6658,22023,6953,18839,4270,20389,5363,25072,8042,20059
CLUG_01483,6826,1919,5103,1541,9161,652,5997,808,6869,252,4206,1113,195,5419,851,5341,704,8535,650,14682,781,14001,686,5422
CLUG_01482,2537,1940,3275,2237,2223,2936,1767,3018,3913,5042,3092,2898,4502,3782,2154,3405,2255,3566,3219,4756,4512,4329,4999,3902
CLUG_01485,3476,1212,5396,1608,3947,255,2403,397,7432,274,6842,578,237,5394,752,5312,972,4893,558,6831,475,5782,337,6205
CLUG_01484,1304,255,1745,372,1398,274,1191,314,2050,527,1844,339,450,1426,172,1461,174,2155,307,4853,432,2626,481,1734
CLUG_01487,1698,1354,4663,2595,2178,578,1327,804,8006,618,9261,989,539,8466,2213,7633,2742,2660,1482,3049,1555,2837,1045,5077
CLUG_01486,10502,6356,10024,7534,8839,2864,6115,3644,13509,1926,12284,4734,2441,11793,1761,12018,1643,10005,4472,12839,2882,13426,3186,10878
CLUG_01489,1967,374,1990,371,1712,226,1468,304,2311,253,1861,319,349,2531,285,2608,263,2075,529,2460,484,2799,524,2172
CLUG_01488,20776,6320,18356,7622,17325,4687,14761,5485,24272,3224,17174,6204,4134,25684,4111,23378,3431,22037,7137,22118,5711,25289,4135,24418
CLUG_00820,3926,1204,2641,1516,3816,538,2138,884,4878,842,2297,606,840,3312,1189,2863,792,3807,1236,5709,608,8346,928,3874
CLUG_00533,19475,598,28822,985,22773,3689,17923,4761,15413,2390,15638,3403,2901,13478,615,12382,885,29383,4052,43378,3455,38857,3547,25126
CLUG_00530,7970,11437,11637,15330,5628,4714,3686,5842,14502,4444,14548,9305,4755,12181,22155,12720,24235,6727,10558,7237,8346,7984,7072,10330
CLUG_00531,1784,446,2067,892,1340,152,1005,228,2884,196,2267,238,274,2504,487,2253,720,2415,211,3338,309,3268,265,2463
CLUG_00824,73767,3727,33819,3930,79749,3218,65458,4315,45659,1466,30297,5069,1361,59342,1208,45989,847,72985,3985,78208,3558,79121,3416,38221
CLUG_00825,96,24,62,66,101,53,50,40,115,50,55,49,90,118,36,105,30,68,47,82,32,140,55,80
CLUG_00826,10489,1827,12677,2249,9273,950,7713,1320,13211,641,13724,2101,772,10605,496,10924,403,14672,2000,21130,1419,19983,1646,13185
CLUG_00535,1037,1231,1635,1767,1074,854,744,973,2134,1383,1747,1166,1412,1946,2782,1805,3048,1469,1873,1992,1457,2204,1558,1998
CLUG_00828,3,23,43,26,0,11,1,16,0,32,0,17,48,1,23,21,22,7,16,30,18,0,28,0
CLUG_00829,195,278,279,351,177,136,69,160,255,401,294,186,485,380,278,369,284,213,244,272,285,400,364,286
CLUG_00538,308,945,2287,1791,325,363,740,454,1989,1281,3614,518,958,1520,1104,1809,2455,1080,924,1764,823,753,525,1861
CLUG_00539,13721,14011,16235,14112,15310,6921,11783,8330,18544,4565,16528,10037,4964,17265,6491,16400,6508,17160,14639,25580,7251,23654,7547,16337
CLUG_00280,1162,876,1411,1131,1243,498,876,578,1710,1057,1532,725,1177,1767,1404,1397,1617,1559,791,2012,642,2223,738,1762
CLUG_00281,996,176,1680,183,1122,541,499,504,1900,968,1820,344,1530,1694,684,1229,752,1563,492,2592,440,2499,650,1918
CLUG_00282,8971,4741,11582,4988,8663,1675,7406,2069,13776,1762,13835,2385,1880,16223,3122,15794,3620,11132,2367,13605,3140,13964,1833,13505
CLUG_00283,3877,681,5735,886,2950,483,3554,528,7859,1218,7251,607,1309,7928,1280,8314,1620,5545,689,6995,621,7104,847,7548
CLUG_00756,2629,790,3066,1174,2330,374,1923,507,4050,772,2977,573,584,3651,1130,3339,1007,3485,774,4368,785,4767,745,4281
CLUG_00757,43160,29539,35372,26919,39522,7321,37992,9428,38134,6137,38212,10152,9219,42569,27924,41154,9975,56951,12988,72562,8814,61250,10629,43459
CLUG_00754,3745,2815,3552,3834,3172,3012,2955,3875,5243,2601,4256,3449,2142,4358,4354,4725,4052,3964,4125,4100,4268,4887,3008,4121
CLUG_00755,6729,1138,5090,1294,5326,348,4602,420,4760,540,3584,398,598,5547,657,6314,851,6916,459,6107,555,8282,485,5533
CLUG_00752,1696,285,1649,327,2126,217,1261,262,1865,612,1359,204,565,2240,253,2101,266,1901,333,2353,402,2462,448,1698
CLUG_00753,2595,4460,3676,5552,2131,1178,1479,1526,4087,1539,4221,2333,1229,4021,3616,4228,4866,3657,3376,4805,1676,3948,1812,3699
CLUG_00750,1269,2834,1685,2705,1710,2270,1959,2601,1899,282,1575,926,492,1850,378,1759,290,1720,635,2655,473,2609,426,1919
CLUG_00751,4728,6774,12844,7042,7466,2785,4119,3531,15160,2735,20738,3973,2686,12987,10246,13979,14031,6434,5634,7473,3634,8043,3761,11058
CLUG_00758,9630,802,9130,835,10065,1001,7772,1153,10260,2047,8091,1292,2666,12187,2426,10378,1057,11217,1282,15138,1113,15074,2357,10232
CLUG_00759,2834,1369,3453,1140,2761,1132,2164,1020,4511,3316,4255,946,3450,3878,3557,3763,1614,3878,1307,5136,2867,4965,2655,3702
CLUG_02679,1514,129,1690,142,1232,477,1294,444,1247,730,1160,501,927,1248,187,1273,211,2321,643,3462,460,3085,676,1513
CLUG_02678,30,36,80,110,38,68,25,58,110,168,116,101,37,165,92,159,74,19,98,37,76,67,75,63
CLUG_02673,10183,9132,15641,8088,11726,1692,4774,2570,18582,1013,20163,2751,987,13454,2894,13672,2822,12203,2814,21078,5292,22291,4795,15848
CLUG_02672,2719,1657,3401,1746,2793,574,1759,908,3539,486,3204,604,624,3404,1875,3204,1701,3978,848,5838,1618,5668,3075,4140
CLUG_02671,1015,2848,2652,2710,1067,813,959,1244,1705,1626,2198,839,1765,1982,1266,1955,1604,1513,1482,1840,1476,1676,3061,2006
CLUG_02670,10669,237870,12560,256873,11186,158579,5704,189897,14702,108961,12725,159056,122667,19791,343363,20280,299864,10594,165203,16290,183407,21196,174147,13125
CLUG_02677,16645,18921,25878,38722,13444,6141,10728,8363,55177,9244,44788,16673,5241,51659,40819,50226,51476,19866,26417,21216,14423,22858,14634,37763
CLUG_02676,949,60,1407,72,1381,88,597,133,1058,82,1184,110,173,1036,41,961,113,1259,58,1789,82,1488,165,1194
CLUG_02675,576,978,2210,862,788,360,345,425,1305,235,2126,571,283,1613,1019,1845,1312,1045,799,951,547,1152,546,1476
CLUG_02674,11594,3097,7050,2796,9788,1170,7970,1756,5014,247,3450,2913,400,6296,453,5814,415,16501,3002,20114,2124,17885,1688,7826
CLUG_03508,778,109,934,144,847,374,606,297,896,438,798,283,343,819,143,955,261,821,363,1109,484,1559,419,912
CLUG_03509,939,509,995,759,769,422,530,480,1496,805,961,507,604,1376,516,1309,666,1072,657,1406,931,1615,623,1324
CLUG_03502,4922,11014,10522,19498,3949,4167,2882,5315,13199,7156,31388,4571,4585,5606,15223,6459,39958,9071,7094,13435,5542,8387,5468,9918
CLUG_03503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLUG_03500,357,954,426,830,323,1943,85,2082,601,3539,394,1659,2856,688,2481,626,2968,416,2358,654,3273,731,2798,612
CLUG_03501,1953,340,2668,365,1435,780,1140,877,3928,1598,3647,857,1364,2791,920,3647,998,2446,1194,2656,1243,3924,1144,3903
CLUG_03506,504,175,680,278,543,275,257,217,804,481,724,208,450,862,168,783,353,699,272,1039,284,1030,250,949
CLUG_03507,457,47,647,90,411,205,145,175,824,271,761,172,363,770,107,613,177,644,232,1013,134,1068,195,831
CLUG_03504,504,10,410,42,342,39,232,48,638,51,344,64,38,749,41,644,73,521,31,791,47,896,51,631
CLUG_03505,2695,2249,3772,2590,2914,765,1938,808,5432,771,4269,1220,640,4810,1168,4583,1124,3506,1094,5354,950,4910,815,4312
CLUG_05489,2581,2677,6376,4764,2549,1363,1488,1881,9766,2656,13211,1775,2241,6025,3166,7061,3893,3519,2720,3824,2264,3887,1791,5368
CLUG_05488,2116,443,3051,486,2226,513,1669,687,2895,838,2746,542,994,3209,261,3525,274,2842,726,2885,749,3114,687,2707
CLUG_02459,2063,8308,2371,8470,2092,9931,1517,9668,2230,11228,1944,8625,13195,3838,16821,3347,14143,2275,8880,2745,16784,3542,13506,2647
CLUG_02458,1880,33894,4738,40797,2417,22446,1898,27924,4187,23070,5353,21621,26445,4937,42564,4657,39239,3461,32770,4635,34521,4721,39249,4678
CLUG_05485,455,29,88,30,441,277,526,130,66,514,36,144,510,6,100,24,43,563,177,420,277,493,115,75
CLUG_05484,160,12,182,16,144,34,45,39,78,22,40,26,22,75,8,63,10,173,16,216,12,203,12,178
CLUG_05487,6776,13544,13655,15773,9861,5006,8032,6287,15589,4595,19988,7006,4192,14060,15079,14046,17064,9135,11797,12462,6282,10506,6264,11949
CLUG_05486,3261,1197,3651,1323,3195,443,2579,464,3960,512,3652,519,546,4278,991,3794,726,4088,475,5701,427,5657,380,4466
CLUG_05481,1193,247,1773,266,1823,611,1111,741,1459,508,1453,305,740,1601,142,1437,101,1507,475,2218,447,2323,379,1431
CLUG_05480,193,149,692,56,396,285,181,261,327,268,401,182,624,444,206,475,214,320,167,403,256,464,230,355
CLUG_05483,12509,1654,17563,1217,14948,1482,9013,1366,41832,1512,58745,1539,1664,44925,688,54532,497,7446,1232,12411,1582,24306,1594,22881
CLUG_05482,1293,300,2069,278,2024,235,1091,307,2194,232,2522,267,443,2347,193,2446,205,1487,300,2162,251,2563,260,1763
CLUG_02651,17653,2555,16852,2919,9359,2455,6297,3353,9374,3388,6105,4185,4567,9747,497,9655,422,15637,5567,17948,4108,18732,4182,14539
CLUG_02650,11767,1494,14555,1798,11538,714,9254,1030,14692,1262,11652,1139,1202,18777,479,16925,338,15311,929,19983,1121,19922,1096,16137
CLUG_04538,8712,9226,15950,13299,9155,4220,5594,5577,27488,3750,27293,7652,2745,26917,16053,26563,19135,10278,11548,11164,9001,11683,7456,18556
CLUG_04539,1975,137,2787,145,2055,270,1350,307,3106,490,2584,391,575,3543,195,3691,189,2756,376,3918,346,3912,367,3343
CLUG_04536,23,14,14,6,38,45,19,41,13,151,12,18,192,9,30,15,43,9,53,24,43,44,93,15
CLUG_04537,15810,38547,21118,30924,16773,17611,6719,23304,39193,18358,58752,28983,18152,15266,17825,23512,8529,14337,23813,25361,13854,26999,10967,17909
CLUG_04534,1277,307,1357,273,1327,172,740,204,1774,440,1332,287,463,1558,306,1497,185,1564,215,2293,509,2304,403,1558
CLUG_04535,498,78,827,64,584,144,357,128,691,301,763,142,421,733,76,802,106,678,147,971,97,935,213,719
CLUG_04532,2252,1995,2653,2183,2569,664,1810,956,2970,495,2569,1297,466,2962,1259,2900,961,2826,1039,2953,493,3244,724,2901
CLUG_04533,984,284,675,303,922,95,737,125,1077,133,579,194,114,1010,105,742,109,1119,164,1429,209,1673,220,954
CLUG_04530,858,721,993,951,845,487,601,810,1064,2119,991,647,2182,1083,767,879,881,922,1430,1320,1670,1371,2093,1008
CLUG_04531,2872,4107,3325,6622,1951,1370,1275,2096,4908,3263,3602,2380,3353,3734,2633,3577,2958,2495,4202,3199,4878,3768,5269,3751
CLUG_05229,2110,157,2069,326,1020,149,900,241,4054,193,3568,378,327,4821,313,5411,368,3970,498,2967,227,2527,334,2970
CLUG_05228,9700,4084,7620,4715,4584,1260,3828,1754,13320,850,14405,3692,869,22255,4434,18030,5597,12752,4320,6869,1862,7691,1667,8575
CLUG_05221,2136,451,1296,475,769,225,851,286,1511,704,1514,431,826,3287,688,2791,702,3232,656,2514,295,2486,410,1775
CLUG_05220,7582,1334,4759,1622,3922,568,3220,653,5365,955,4338,1361,934,10818,2663,10603,2686,10945,1676,7284,1449,7467,1028,5550
CLUG_05223,3373,1659,2956,1506,2226,392,1523,529,2905,915,3250,851,1063,5781,1679,4989,1280,4892,1294,3784,809,3659,989,3097
CLUG_05222,582,143,406,152,221,81,241,77,455,169,438,99,173,926,188,774,149,922,165,601,66,660,109,540
CLUG_05225,3066,1809,2366,2723,1647,3121,1254,3490,2793,6703,21,17,5909,5452,7433,5325,7968,3962,6936,19,5106,3100,3591,2532
CLUG_05224,391,185,176,212,196,343,134,411,327,620,323,682,730,572,861,596,821,428,742,421,317,309,409,290
CLUG_05227,4001,10196,4418,18446,1983,7301,1414,9242,7629,11114,10140,18075,6853,9080,36360,8671,49046,6610,32032,5284,12653,3735,9396,4620
CLUG_05226,5005,1956,2846,1668,3723,568,2555,713,3401,245,2972,1532,340,6659,1939,5716,1795,6079,1437,4595,702,5185,602,3005
CLUG_04280,5422,685,4783,743,4255,475,4273,639,3734,356,3198,746,478,5324,286,4659,255,6784,698,10276,389,10779,680,5561
CLUG_04281,1164,190,1553,222,1087,133,926,186,861,208,1051,75,309,1163,61,1161,136,1385,132,1552,36,1727,163,1184
CLUG_04282,2292,374,2222,444,2251,151,1773,276,1721,389,1551,237,344,2322,202,1973,234,2596,253,3338,206,4147,286,2089
CLUG_04283,767,160,1060,200,1017,133,638,140,975,108,1040,149,84,1352,126,1315,108,1105,155,1538,174,1594,205,1044
CLUG_04284,826,851,1587,1408,984,376,665,604,1574,186,1676,649,300,1823,1902,1807,1727,1347,1280,1641,627,2072,960,1756
CLUG_04285,1054,681,1506,774,1295,449,851,598,1341,291,1601,608,317,1405,1238,1460,1710,1205,809,1539,595,1655,615,1297
CLUG_04286,0,0,0,0,0,0,0,0,0,0,24,0,0,0,1,0,0,14,0,130,0,0,39,0
CLUG_04287,26,8,7,19,30,15,226,59,53,255,883,58,115,10,27,10,45,606,136,8032,36,110,136,15
CLUG_04288,3202,121,2133,177,3583,267,1195,329,1509,80,1002,372,106,1506,34,2054,39,2774,292,4179,562,5920,373,2199
CLUG_04289,4983,360,6001,532,4345,335,4040,417,6817,456,5903,420,490,7130,209,6758,162,7082,382,8973,437,8936,532,7551
CLUG_02427,1320,73,1220,72,1511,618,1671,666,876,137,926,565,253,779,76,621,56,1524,564,2704,485,3199,659,896
CLUG_01320,7746,11984,10553,11307,10327,13362,7592,15292,9958,9061,9348,12678,9206,11110,10543,9989,10034,9771,15476,12496,11576,12519,10145,9352
CLUG_02277,7874,54429,10544,49153,12728,25309,8046,29035,20320,14124,19810,31292,16429,13576,61089,13601,60668,10806,41397,19676,22684,16285,19500,10031
CLUG_02276,931,570,1897,433,1587,292,1015,464,984,224,2068,230,175,1394,142,1321,114,1330,369,1810,355,1617,439,1260
CLUG_01838,740,312,1949,432,550,126,512,160,2785,260,2747,215,402,1978,183,2112,156,1337,242,1701,190,1296,278,2527
CLUG_01839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLUG_01348,13107,1078,10671,1268,10372,1002,4069,1133,5071,2468,4554,1603,2608,5589,1488,6862,1496,12212,1331,10520,1764,12770,1833,9216
CLUG_01349,12191,10616,12058,13120,11518,5008,9172,7395,19476,11822,20551,5251,11560,14783,20428,15267,20081,15060,8352,19424,8123,18675,9790,15784
CLUG_01830,2387,382,2914,438,1975,330,1895,422,4385,602,3706,344,548,4062,167,3952,120,3167,364,4305,431,4119,476,3615
CLUG_01831,782,312,1364,463,775,190,658,178,2315,296,2317,217,392,1718,193,1808,139,1064,294,1483,291,1338,177,1585
CLUG_01340,2895,458,2795,668,2239,247,2331,369,3374,239,2615,350,390,3185,244,2885,306,3714,418,5278,319,5553,598,3530
CLUG_01341,4592,1036,6603,1298,4497,1598,2870,1808,7983,2501,8153,1266,2287,6473,515,6011,492,6898,1523,9251,3458,7835,1899,7548
CLUG_01834,36,46,14,36,51,69,27,63,3,202,4,93,209,60,37,35,29,49,117,38,91,40,65,18
CLUG_01835,49,47,30,64,65,43,30,33,44,122,41,46,157,68,39,61,28,49,68,51,48,70,55,26
CLUG_01836,3005,734,2972,842,2704,245,2200,217,3765,384,3121,338,422,4170,653,3381,474,3529,314,4807,409,5273,366,3988
CLUG_01837,4720,3192,7627,4038,5299,924,3496,1254,9407,969,10187,1622,1008,8579,2814,8123,2951,6075,1819,8471,1384,8425,1183,7469
CLUG_00697,8081,858,8242,835,6777,2378,3282,2205,3692,4973,3160,2234,7325,3694,1778,4375,2424,8561,2149,8194,1458,9002,2654,6546
CLUG_00696,114,491,138,430,118,1785,84,1598,14,7871,53,1741,8010,91,1760,84,2597,169,2061,243,2673,152,3070,114
CLUG_00695,7065,4567,6746,6812,8936,3754,8302,4731,10435,1230,6702,3493,894,10623,5835,9456,5320,8645,4227,14144,5066,14880,3687,8125
CLUG_00694,1128,181,1567,157,1091,491,1121,466,1002,308,974,250,547,1271,203,1412,270,2077,255,2576,145,2123,319,1498
CLUG_03710,1768,699,1961,889,1862,1078,1212,1213,2410,2123,2156,936,2039,2390,570,1910,632,2133,1125,3245,1872,3296,1802,2410
CLUG_00693,193,51,404,29,312,48,310,150,160,87,365,74,206,172,75,256,113,268,44,302,32,305,52,186
CLUG_00692,195,60,255,113,239,149,194,147,131,337,130,127,381,98,142,121,235,232,201,471,93,500,271,158
CLUG_00691,7204,900,6951,990,6712,755,5038,873,6742,919,5654,1161,893,6019,555,5953,605,10605,1119,17696,917,15710,1345,7643
CLUG_00690,5015,1735,6951,2545,5323,756,3746,1007,9391,2031,11580,1148,1681,6947,1612,7317,1881,6482,1052,9041,1226,9315,1034,6713
CLUG_03089,11589,13373,24070,19345,13572,3846,8740,4562,39265,3716,41832,7347,2754,38021,24630,35253,32126,17666,10612,15281,9488,15723,6066,25149
CLUG_03088,12241,2950,10735,3390,9532,1545,9281,1877,13967,739,10839,2213,894,12357,1699,12921,1567,13690,2620,13443,1781,15116,1876,12848
CLUG_03087,11481,6756,15533,12771,11826,1609,18913,2421,17640,4508,18868,3613,1909,18052,12737,17914,16447,20413,6558,22242,3810,13783,3682,18625
CLUG_03086,11072,924,8826,1547,11902,681,8158,936,10979,1015,8440,942,1004,8118,2444,8076,2224,12959,1003,17305,1169,21250,1506,10541
CLUG_03085,1623,555,2001,779,1846,155,1450,195,2646,146,2232,196,149,2712,566,2526,448,1998,352,2995,196,2925,264,2446
CLUG_03084,2504,2463,3773,2927,2295,2381,1964,2748,5732,3808,4401,2748,3203,5397,3133,5442,2893,3229,3925,4794,3952,4741,3000,4296
CLUG_03083,4298,3848,7256,6846,4426,1120,2653,1510,14290,1703,13832,2324,1102,15791,7556,15412,11967,5727,3833,5844,3592,6293,2689,9791
